Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HIVE-4413,12644338,Parse Exception : character '@' not supported while granting privileges to user in a Secure Cluster through hive client.,bolke,navmad,Major,Resolved,Not A Problem,24/Apr/13 11:43,18/Feb/16 14:18,
Bug,HIVE-10233,12818760,Hive on tez: memory manager for grace hash join,hagleitn,vikram.dixit,Major,Resolved,Fixed,07/Apr/15 00:14,08/Jul/15 00:32,
Bug,HIVE-11031,12838341,ORC concatenation of old files can fail while merging column statistics,prasanth_j,prasanth_j,Critical,Resolved,Fixed,17/Jun/15 00:14,26/Jun/15 19:09,
Bug,HIVE-22054,13247273,Avoid recursive listing to check if a directory is empty,prabhas,prabhas,Major,Resolved,Fixed,26/Jul/19 10:38,22/Mar/22 08:55,
Bug,HIVE-16839,13077858,Unbalanced calls to openTransaction/commitTransaction when alter the same partition concurrently,yguang11,nemon,Major,Resolved,Fixed,07/Jun/17 01:55,22/Mar/22 08:59,
Bug,HIVE-11332,12846713,Unicode table comments do not work,,sershe,Major,Resolved,Duplicate,21/Jul/15 23:06,16/Sep/15 18:38,
Bug,HIVE-20077,13169925,hcat command should follow same pattern as hive cli for getting HBase jars,busbey,busbey,Major,Resolved,Fixed,03/Jul/18 20:50,22/Mar/22 08:57,
Bug,HIVE-11035,12838507,PPD: Orc Split elimination fails because filterColumns=[-1],prasanth_j,gopalv,Major,Resolved,Fixed,17/Jun/15 15:56,19/Jun/15 23:30,
Bug,HIVE-13452,12956722,StatsOptimizer should return no rows on empty table with group by,pxiong,ashutoshc,Major,Resolved,Fixed,07/Apr/16 02:08,14/Dec/17 16:25,
Bug,HIVE-19393,13156754,NonSyncDataInputBuffer.skipBytes hangs when the file is corrupted ,,dustinday,Minor,Resolved,Duplicate,03/May/18 02:34,03/May/18 20:38,
Bug,HIVE-16907,13080006," ""INSERT INTO""  overwrite old data when destination table encapsulated by backquote ",kgyrtkirk,nemon,Major,Resolved,Fixed,15/Jun/17 08:17,22/Mar/22 08:59,
Bug,HIVE-14737,13004289,Problem accessing /logs in a Kerberized Hive Server 2 Web UI,Rajkumar Singh,morhidi,Major,Resolved,Fixed,12/Sep/16 12:51,22/Mar/22 08:59,
Bug,HIVE-14557,12997908,Nullpointer When both SkewJoin  and Mapjoin Enabled,lirui,nemon,Major,Resolved,Fixed,17/Aug/16 13:26,22/Mar/22 08:59,
Bug,HIVE-24467,13343691,ConditionalTask remove tasks that not selected exists thread safety problem,jshmchenxi,gjhkael,Major,Resolved,Fixed,02/Dec/20 05:44,22/Mar/22 08:53,
Bug,HIVE-15353,13025346,Metastore throws NPE if StorageDescriptor.cols is null,erwaman,erwaman,Major,Resolved,Fixed,03/Dec/16 18:20,09/Feb/18 21:58,
Bug,HIVE-13665,12964191,HS2 memory leak When multiple queries are running with get_json_object,jinzheng,goodjins,Major,Resolved,Duplicate,02/May/16 02:50,24/Nov/17 02:07,
Bug,HIVE-17126,13088458,Hive Metastore is incompatible with MariaDB 10.x,,eyang,Major,Resolved,Not A Problem,19/Jul/17 16:23,09/Aug/17 20:59,
Bug,HIVE-15438,13028463,avrocountemptytbl.q should use SORT_QUERY_RESULTS,erwaman,erwaman,Major,Resolved,Fixed,15/Dec/16 18:23,21/Jul/17 18:26,
Bug,HIVE-14345,12992713,Beeline result table has erroneous characters ,mcsanady,jbeard,Minor,Resolved,Fixed,26/Jul/16 20:28,21/Jul/17 17:55,
Bug,HIVE-13883,12973628,WebHCat leaves token crc file never gets deleted,niklaus.xiao,niklaus.xiao,Minor,Resolved,Fixed,28/May/16 02:18,21/Jul/17 17:45,
Bug,HIVE-19570,13159711,"Multiple inserts using ""Group by"" and ""Distinct""  generates incorrect results",rtrivedi12,rtrivedi12,Critical,Resolved,Duplicate,16/May/18 12:22,31/May/18 07:36,
Bug,HIVE-15239,13021667,hive on spark combine equivalent work get wrong result because of  TS operation compare,lirui,wenli,Major,Resolved,Fixed,18/Nov/16 04:17,21/Jul/17 18:26,
Bug,HIVE-12264,12907836,MoveTask file format check looks only the table input format,prasanth_j,prasanth_j,Major,Resolved,Implemented,26/Oct/15 06:20,12/Nov/15 22:10,
Bug,HIVE-7428,12727720,OrcSplit fails to account for columnar projections in its size estimates,gopalv,gopalv,Major,Resolved,Duplicate,16/Jul/14 17:44,03/Nov/15 04:10,
